Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
S.No.,College,Role,City type,Previous CTC,Previous job changes,Graduation marks,Exp (Months),CTC
1,Tier 1,Manager,Non-Metro,55523,3,66,19,71406.57653107929
2,Tier 2,Executive,Metro,57081,1,84,18,68005.87063056014
3,Tier 2,Executive,Metro,60347,2,52,28,76764.02027697208
4,Tier 3,Executive,Metro,49010,2,81,33,82092.38687992512
5,Tier 3,Executive,Metro,57879,4,74,32,73878.0977294614
6,Tier 2,Executive,Non-Metro,54340,4,73,31,59950.89224500499
7,Tier 2,Executive,Non-Metro,60298,1,42,46,66602.33930682242
8,Tier 3,Executive,Non-Metro,49944,2,56,37,57768.435036989096
9,Tier 1,Executive,Metro,53124,4,40,37,70083.30436240879
10,Tier 3,Executive,Non-Metro,51141,1,47,60,85648.4814686017
11,Tier 1,Executive,Metro,49497,1,50,25,74914.1460293134
12,Tier 2,Manager,Non-Metro,50197,2,66,62,85219.39143984443
13,Tier 1,Executive,Metro,63234,4,73,23,82910.93833332226
14,Tier 2,Executive,Non-Metro,60059,2,71,56,74350.07820181214
15,Tier 2,Manager,Metro,66487,1,50,27,103595.8285279444
16,Tier 1,Executive,Metro,49292,4,49,19,70729.63281737755
17,Tier 1,Executive,Non-Metro,55400,4,48,52,70051.93691185478
18,Tier 1,Executive,Metro,53089,2,72,23,69403.49340524289
19,Tier 1,Executive,Metro,69345,3,79,56,84710.53254639165
20,Tier 1,Manager,Metro,63508,1,48,30,95879.94275585136
21,Tier 1,Executive,Non-Metro,60057,1,61,60,73487.12624482629
22,Tier 1,Executive,Non-Metro,52402,3,35,30,61597.98193060586
23,Tier 2,Executive,Metro,60180,2,68,18,63119.80037668905
24,Tier 1,Manager,Non-Metro,53422,4,44,34,98586.8252797763
25,Tier 3,Executive,Metro,49857,3,37,37,71502.56405929202
26,Tier 2,Executive,Non-Metro,48682,3,82,59,64320.669102470754
27,Tier 1,Executive,Non-Metro,48516,2,37,63,77310.21815609097
28,Tier 3,Executive,Non-Metro,54363,3,44,55,74825.19814897492
29,Tier 3,Executive,Metro,39636,3,43,23,59230.435281045466
30,Tier 1,Manager,Metro,65172,1,44,31,107138.140531638
31,Tier 1,Manager,Metro,58529,1,65,22,102763.61086073873
32,Tier 1,Executive,Non-Metro,50011,2,72,18,69764.49043163109
33,Tier 1,Executive,Non-Metro,50020,4,75,19,59889.141347399716
34,Tier 3,Executive,Metro,55764,2,64,63,82356.40781791574
35,Tier 1,Manager,Metro,60894,4,80,28,118651.89467975884
36,Tier 3,Executive,Metro,42259,4,37,19,66762.27178435681
37,Tier 3,Executive,Non-Metro,59978,2,75,62,79454.73946709457
38,Tier 1,Executive,Metro,47129,1,41,26,66079.85009910875
39,Tier 1,Manager,Metro,57485,1,77,35,103774.34357263785
40,Tier 1,Manager,Metro,62593,3,71,60,112716.44486928236
41,Tier 1,Executive,Non-Metro,48913,3,41,24,62819.16250520876
42,Tier 2,Executive,Non-Metro,66101,4,81,31,55470.54981877124
43,Tier 2,Executive,Metro,49622,2,73,41,69510.04982211498
44,Tier 2,Executive,Non-Metro,59386,4,46,37,68064.76304752263
45,Tier 1,Executive,Metro,66050,1,35,38,69116.92553999266
46,Tier 1,Executive,Metro,59492,1,69,55,86354.83986197828
47,Tier 1,Executive,Non-Metro,61134,3,72,18,60456.6919564967
48,Tier 3,Executive,Non-Metro,61956,4,54,28,71791.28440745956
49,Tier 2,Executive,Non-Metro,46086,4,50,60,67626.88844343318
50,Tier 2,Manager,Metro,61481,3,79,36,99794.40392512958
51,Tier 1,Executive,Non-Metro,55727,3,79,18,70350.78936706354
52,Tier 3,Executive,Non-Metro,61576,2,73,21,58818.76609195358
53,Tier 1,Manager,Metro,57563,1,64,48,86487.57594249959
54,Tier 2,Manager,Metro,58288,3,84,36,92378.50264087028
55,Tier 3,Executive,Non-Metro,55282,3,60,40,73281.55098825581
56,Tier 3,Manager,Metro,66624,1,63,58,110438.17063632957
57,Tier 1,Executive,Non-Metro,59443,3,52,58,67485.09818482336
58,Tier 2,Manager,Metro,51937,3,64,18,92518.36538643712
59,Tier 2,Manager,Non-Metro,46477,3,37,53,72977.62734501762
60,Tier 3,Executive,Non-Metro,62470,3,60,34,64770.74983224238
61,Tier 1,Executive,Metro,51123,2,52,43,74845.87128543764
62,Tier 2,Executive,Metro,56301,3,58,25,59913.3124270125
63,Tier 3,Executive,Metro,46670,1,69,64,95961.18279409879
64,Tier 3,Executive,Non-Metro,54375,2,82,28,60766.378783355634
65,Tier 3,Manager,Non-Metro,45227,4,40,20,69193.9588273066
66,Tier 1,Executive,Non-Metro,50787,4,81,19,66433.3951820739
67,Tier 1,Executive,Non-Metro,62919,3,42,61,73410.946195465
68,Tier 3,Executive,Metro,51770,3,45,40,68447.631197457
69,Tier 2,Executive,Non-Metro,60123,1,47,40,60185.39615951462
70,Tier 2,Manager,Metro,51002,4,41,28,76765.01606584137
71,Tier 2,Manager,Non-Metro,46940,1,69,27,70157.02714852891
72,Tier 1,Executive,Metro,49905,4,66,31,75297.33929574226
73,Tier 1,Executive,Non-Metro,51505,2,55,53,76960.4764467465
74,Tier 2,Executive,Metro,52474,3,79,58,76204.89111365426
75,Tier 1,Executive,Metro,49172,2,57,44,63782.201980207916
76,Tier 3,Executive,Metro,56916,3,42,57,69415.10843441867
77,Tier 2,Executive,Non-Metro,59386,1,38,29,64472.35677905878
78,Tier 2,Executive,Metro,55748,3,84,21,60815.41688328952
79,Tier 1,Executive,Non-Metro,65574,2,83,22,55902.828163010396
80,Tier 3,Executive,Non-Metro,58541,4,79,41,64468.29367767964
81,Tier 1,Executive,Metro,50672,4,79,31,76093.35759063612
82,Tier 1,Executive,Non-Metro,68071,1,70,45,81430.4929318701
83,Tier 2,Manager,Metro,58815,4,71,22,106165.07741251586
84,Tier 3,Executive,Non-Metro,62493,3,74,48,67374.71261040667
85,Tier 1,Manager,Non-Metro,60182,4,59,37,103574.44993849478
86,Tier 3,Manager,Metro,42941,1,49,45,74191.43026481617
87,Tier 3,Manager,Non-Metro,55505,2,40,57,100887.84757840673
88,Tier 1,Executive,Non-Metro,54114,3,82,56,78715.15960510433
89,Tier 3,Executive,Non-Metro,57670,1,41,46,70686.70528146237
90,Tier 3,Executive,Non-Metro,54361,2,68,55,73231.75258869297
91,Tier 2,Executive,Non-Metro,67083,4,39,21,66296.73183989071
92,Tier 3,Executive,Non-Metro,52483,2,65,53,71738.23273563881
93,Tier 1,Manager,Metro,55581,4,49,59,99551.33883928094
94,Tier 3,Executive,Metro,62243,1,41,35,75903.41505081505
95,Tier 1,Manager,Non-Metro,59293,1,81,64,105308.78448843579
96,Tier 2,Executive,Non-Metro,59707,3,70,28,56003.61167227263
97,Tier 1,Executive,Non-Metro,57726,4,84,54,68673.2909080687
98,Tier 2,Executive,Metro,58401,4,45,55,76028.5022537138
99,Tier 1,Manager,Metro,41228,2,64,56,87418.05045048965
100,Tier 1,Manager,Metro,40945,1,46,38,74984.0206542445
101,Tier 1,Executive,Non-Metro,54794,4,47,41,66591.2927229952
102,Tier 1,Executive,Metro,51692,2,57,30,72088.04432054599
103,Tier 1,Executive,Non-Metro,52305,1,35,18,78521.16794406927
104,Tier 2,Manager,Non-Metro,56680,4,63,61,85688.72170371933
105,Tier 1,Executive,Non-Metro,52300,4,52,34,66657.86216033885
106,Tier 3,Manager,Metro,56710,2,47,20,67879.01581468034
107,Tier 1,Executive,Non-Metro,51351,1,69,19,60069.67907555057
108,Tier 3,Executive,Metro,51022,2,55,26,67820.30557022037
109,Tier 2,Executive,Metro,52096,3,37,29,65685.01766697298
110,Tier 2,Manager,Metro,59099,2,67,63,103305.29586882479
111,Tier 3,Executive,Metro,57677,4,77,54,76671.69402150314
112,Tier 1,Executive,Non-Metro,59343,3,85,55,76577.9863951674
113,Tier 1,Executive,Metro,54767,1,35,37,66693.97510330868
114,Tier 3,Executive,Non-Metro,60869,1,77,21,60125.96817143938
115,Tier 1,Executive,Metro,53949,4,81,52,80042.1108340967
116,Tier 1,Executive,Metro,48707,4,77,60,97106.1054459977
117,Tier 2,Executive,Metro,77911,1,50,58,87831.61697730728
118,Tier 2,Manager,Non-Metro,54183,1,40,29,70630.94732608231
119,Tier 2,Executive,Non-Metro,51099,3,71,49,67516.62664974012
120,Tier 3,Executive,Non-Metro,51591,1,79,37,67573.29352464719
121,Tier 1,Executive,Metro,61057,1,41,44,80714.78836897845
122,Tier 1,Executive,Metro,48280,4,79,18,75430.51154763075
123,Tier 3,Executive,Non-Metro,57606,4,78,20,54071.787774521355
124,Tier 1,Manager,Metro,55440,4,72,44,112826.26079459864
125,Tier 3,Executive,Non-Metro,54055,1,63,47,60944.33193368613
126,Tier 1,Executive,Non-Metro,49862,3,82,26,65065.524613098314
127,Tier 1,Manager,Non-Metro,56204,2,65,19,82667.77412589182
128,Tier 1,Executive,Non-Metro,65161,2,41,52,82517.5855815066
129,Tier 3,Manager,Non-Metro,42143,3,38,32,88208.3714658321
130,Tier 1,Executive,Metro,57924,4,62,38,68023.41161171201
131,Tier 1,Executive,Non-Metro,48755,2,69,59,73464.74883299028
132,Tier 1,Executive,Non-Metro,50926,3,83,61,77222.0014566167
133,Tier 1,Executive,Non-Metro,65158,3,67,53,67163.57406887089
134,Tier 3,Executive,Metro,46073,4,73,19,59241.32072258271
135,Tier 1,Executive,Non-Metro,53110,4,43,20,72322.7908073468
136,Tier 2,Executive,Non-Metro,50180,1,41,22,55226.52981071172
137,Tier 1,Executive,Metro,61124,3,64,19,73417.06922572792
138,Tier 3,Executive,Metro,54583,3,82,22,63534.870911601975
139,Tier 2,Executive,Non-Metro,52400,3,72,54,90774.0352939696
140,Tier 1,Executive,Non-Metro,64264,1,51,22,77666.9489566491
141,Tier 1,Executive,Metro,44197,3,52,34,95868.30175269296
142,Tier 1,Executive,Metro,56273,1,75,26,74544.56748067096
143,Tier 2,Manager,Metro,47481,4,42,34,77150.62719236892
144,Tier 3,Executive,Metro,58053,1,53,29,86298.81522374462
145,Tier 3,Manager,Metro,58071,4,76,30,74697.64027987768
146,Tier 2,Executive,Non-Metro,66845,1,60,29,58695.6497571702
147,Tier 3,Manager,Metro,60396,3,72,46,96190.71566134064
148,Tier 2,Executive,Non-Metro,67056,3,55,51,63582.13224262359
149,Tier 3,Executive,Non-Metro,63823,4,39,53,61586.138077202675
150,Tier 1,Executive,Metro,49475,3,71,19,75037.68060478051
151,Tier 3,Executive,Metro,50330,3,80,35,61282.09424787654
152,Tier 2,Executive,Metro,57858,4,43,48,71522.23325094908
153,Tier 1,Executive,Non-Metro,61627,3,58,32,74596.33063613057
154,Tier 1,Manager,Non-Metro,49733,1,76,42,77168.22490906258
155,Tier 1,Executive,Non-Metro,55308,2,36,40,75028.74583739562
156,Tier 3,Executive,Metro,66048,4,80,44,76619.74492525854
157,Tier 2,Manager,Metro,49405,1,63,48,75910.11212253082
158,Tier 1,Manager,Metro,49810,1,47,18,73056.76960548577
159,Tier 2,Manager,Metro,56330,4,46,30,94478.70035498013
160,Tier 2,Executive,Non-Metro,56485,2,36,50,69960.2484773964
161,Tier 3,Manager,Non-Metro,47053,2,46,42,67407.05030846367
162,Tier 2,Manager,Non-Metro,64179,4,74,18,97119.39076608463
163,Tier 1,Executive,Metro,60385,4,78,54,83984.4815463562
164,Tier 1,Executive,Non-Metro,50963,2,45,32,76385.23282202178
165,Tier 3,Executive,Metro,50024,1,77,37,66216.69659904907
166,Tier 1,Executive,Metro,50334,2,36,47,82526.92731565231
167,Tier 1,Executive,Non-Metro,61054,3,68,20,74459.24645675541
168,Tier 3,Executive,Non-Metro,58629,3,39,32,62936.69859391198
169,Tier 3,Executive,Non-Metro,52519,2,45,19,59425.885811043605
170,Tier 1,Executive,Metro,46993,3,50,27,69437.63290084632
171,Tier 2,Executive,Metro,67559,4,45,63,72083.4891714197
172,Tier 1,Executive,Metro,55944,2,53,49,69163.36128241064
173,Tier 1,Executive,Metro,38709,3,56,18,72747.1207405685
174,Tier 1,Executive,Non-Metro,61130,3,58,35,66726.93652939252
175,Tier 3,Executive,Non-Metro,54941,2,50,24,57067.629804683376
176,Tier 1,Manager,Non-Metro,58639,2,46,63,109108.11666723239
177,Tier 3,Executive,Metro,52098,2,84,38,73831.46193999826
178,Tier 1,Executive,Metro,53618,2,52,54,79031.19752175112
179,Tier 1,Executive,Non-Metro,57261,4,62,46,77631.45557354123
180,Tier 1,Executive,Non-Metro,53158,4,66,41,78524.14655585516
181,Tier 3,Executive,Metro,53511,1,84,58,70856.2420136437
182,Tier 2,Executive,Non-Metro,58408,2,56,18,61042.81054652398
183,Tier 1,Executive,Metro,46722,2,49,22,66407.60767616061
184,Tier 3,Executive,Non-Metro,49331,1,78,44,71632.12784536631
185,Tier 2,Executive,Metro,53717,2,41,44,78002.77986344561
186,Tier 1,Manager,Metro,70258,4,38,36,115126.74586607883
187,Tier 2,Executive,Non-Metro,53186,3,62,26,58559.16366857784
188,Tier 1,Executive,Non-Metro,59273,1,80,30,62275.25329306589
189,Tier 1,Executive,Non-Metro,59466,3,45,41,73749.43998776758
190,Tier 3,Executive,Non-Metro,55639,1,40,29,55927.321822366415
191,Tier 2,Executive,Metro,61138,3,68,61,67174.80659077871
192,Tier 1,Executive,Non-Metro,47831,4,74,36,70249.63458768206
193,Tier 2,Executive,Metro,51919,4,82,25,69896.21583885513
194,Tier 3,Executive,Non-Metro,49310,1,47,56,68123.80322453256
195,Tier 2,Executive,Metro,61973,1,51,18,56131.763706405116
196,Tier 3,Executive,Metro,52475,3,39,19,63426.47769166933
197,Tier 1,Executive,Non-Metro,62262,3,43,39,68762.59880003039
198,Tier 2,Executive,Non-Metro,49159,3,57,45,65693.05206653621
199,Tier 3,Executive,Non-Metro,44451,1,65,51,59721.74203691595
200,Tier 1,Executive,Non-Metro,64873,3,48,64,85224.18671480319
201,Tier 3,Executive,Non-Metro,55261,1,36,19,53356.71920305451
202,Tier 2,Executive,Non-Metro,53405,1,46,48,67405.5392320325
203,Tier 3,Executive,Non-Metro,48982,3,77,60,73639.06170114901
204,Tier 2,Manager,Non-Metro,60286,1,73,27,91956.83817213125
205,Tier 1,Executive,Metro,44712,2,49,46,76451.54716664816
206,Tier 1,Executive,Non-Metro,49882,2,57,28,64100.13223866961
207,Tier 2,Executive,Metro,46791,3,59,59,78379.78755564067
208,Tier 1,Manager,Metro,52585,3,78,35,77592.9381396215
209,Tier 1,Executive,Non-Metro,59130,1,79,63,70314.8868673726
210,Tier 1,Executive,Metro,63061,4,36,40,72339.7131935296
211,Tier 1,Executive,Metro,55293,4,39,20,75774.95375859496
212,Tier 3,Executive,Metro,54222,4,40,40,71232.98217543366
213,Tier 3,Executive,Metro,48720,3,66,24,61022.267740597155
214,Tier 2,Executive,Non-Metro,49971,2,77,34,69437.40602163522
215,Tier 1,Executive,Non-Metro,58774,4,70,45,73028.66894118304
216,Tier 1,Executive,Non-Metro,59781,1,46,41,76811.44907600762
217,Tier 3,Executive,Non-Metro,54690,3,71,53,65923.7166733901
218,Tier 2,Executive,Metro,43494,1,60,27,68676.92540332378
219,Tier 2,Executive,Non-Metro,54356,1,69,26,67766.32867863828
220,Tier 2,Executive,Non-Metro,44261,4,64,24,75535.50114998176
221,Tier 1,Executive,Non-Metro,61570,3,74,34,75762.90757332515
222,Tier 1,Executive,Non-Metro,59600,3,52,53,75588.76396310878
223,Tier 1,Executive,Metro,52971,2,56,32,70086.06580045553
224,Tier 1,Manager,Metro,57963,2,60,19,96125.1762922195
225,Tier 2,Manager,Metro,44781,2,75,42,80753.62312149233
226,Tier 2,Executive,Metro,62903,4,82,55,71048.23811699847
227,Tier 2,Executive,Metro,58282,4,78,28,71454.8954283114
228,Tier 2,Executive,Non-Metro,66411,1,47,58,87222.87077357474
229,Tier 1,Executive,Non-Metro,58109,4,44,41,75683.99175775939
230,Tier 1,Executive,Metro,51572,4,35,47,78834.20245449388
231,Tier 3,Executive,Non-Metro,63031,1,48,42,72943.91057871455
232,Tier 2,Executive,Non-Metro,54081,1,42,59,66774.10672843328
233,Tier 1,Executive,Non-Metro,45676,4,81,19,58845.39620941226
234,Tier 1,Executive,Metro,52116,2,60,59,75689.82777249
235,Tier 3,Executive,Metro,46127,1,56,39,68623.41359571512
236,Tier 2,Manager,Non-Metro,48343,3,78,40,68392.66608893438
237,Tier 2,Executive,Non-Metro,56666,3,47,18,53730.63497314817
238,Tier 2,Executive,Metro,67170,4,55,31,69913.10506689803
239,Tier 3,Manager,Metro,51096,3,70,19,80820.273616925
240,Tier 2,Executive,Metro,64120,2,35,44,71001.52597583721
241,Tier 1,Manager,Non-Metro,59001,2,81,23,89974.04520310643
242,Tier 1,Executive,Non-Metro,45187,3,74,33,71161.34095428522
243,Tier 1,Executive,Non-Metro,53027,4,69,55,106846.34327215831
244,Tier 1,Executive,Metro,55858,4,47,40,77673.28793290147
245,Tier 1,Manager,Non-Metro,49074,3,58,63,84287.39457150061
246,Tier 3,Executive,Metro,54121,3,51,54,84320.29067045881
247,Tier 2,Executive,Non-Metro,61285,3,44,60,77283.58877414947
248,Tier 2,Executive,Metro,63140,1,44,24,68416.8582689412
249,Tier 1,Executive,Metro,44907,1,60,19,70186.19259869528
250,Tier 1,Executive,Metro,52054,2,67,29,73394.0904052001
251,Tier 1,Manager,Metro,44353,3,75,18,70056.31308784423
252,Tier 1,Manager,Non-Metro,54987,3,69,63,111873.30375581964
253,Tier 2,Manager,Metro,54808,2,51,54,101785.04474439692
254,Tier 1,Executive,Metro,58153,3,55,27,76298.89594140522
255,Tier 1,Manager,Metro,51912,2,66,50,113141.14426480766
256,Tier 1,Executive,Non-Metro,51735,1,67,55,71890.09479946457
257,Tier 3,Manager,Metro,55928,4,75,56,108750.86966005848
258,Tier 2,Executive,Non-Metro,61132,1,72,38,68120.02503754714
259,Tier 3,Executive,Metro,47560,4,70,51,67760.38061639876
260,Tier 3,Manager,Metro,53080,3,68,19,97151.37752091119
261,Tier 1,Executive,Non-Metro,46136,1,73,58,81234.59900941093
262,Tier 2,Manager,Non-Metro,54869,2,76,20,72296.78844240363
263,Tier 1,Manager,Metro,53471,3,58,52,82735.39843348712
264,Tier 3,Manager,Metro,66355,1,81,19,99815.95648054365
265,Tier 2,Executive,Non-Metro,62836,4,41,53,72755.3801578174
266,Tier 2,Manager,Metro,70468,2,38,46,111172.91601833531
267,Tier 2,Manager,Metro,45743,4,45,40,80222.49897693707
268,Tier 1,Executive,Non-Metro,54083,3,83,59,70531.82259765857
269,Tier 1,Executive,Metro,50573,3,60,45,70207.24153266383
270,Tier 1,Executive,Metro,46637,4,46,49,66843.75254562823
271,Tier 2,Executive,Metro,50393,4,55,18,60213.58298100733
272,Tier 1,Manager,Metro,63916,1,70,50,105334.49846693623
273,Tier 3,Executive,Metro,62911,3,65,41,65659.68641860971
274,Tier 1,Executive,Metro,56876,1,35,50,83092.1594310339
275,Tier 3,Executive,Metro,54032,1,38,25,66571.16731805798
276,Tier 1,Executive,Non-Metro,52888,4,76,47,78083.2103369944
277,Tier 3,Executive,Metro,43457,1,74,19,62954.41009667994
278,Tier 1,Executive,Non-Metro,51281,3,55,22,66298.7022281521
279,Tier 2,Executive,Metro,54806,2,57,59,82475.16317944069
280,Tier 2,Executive,Non-Metro,49646,1,59,51,74374.59907197204
281,Tier 1,Manager,Non-Metro,52883,1,55,40,78949.12098718829
282,Tier 1,Manager,Metro,68419,4,46,54,106418.32082346061
283,Tier 1,Executive,Metro,50242,4,71,30,70060.23293629357
284,Tier 1,Executive,Non-Metro,57133,3,72,55,77111.80888231471
285,Tier 1,Executive,Non-Metro,52065,4,80,52,68439.79025915866
286,Tier 2,Executive,Metro,53490,2,72,46,68607.85658680982
287,Tier 1,Executive,Non-Metro,68539,3,51,46,76839.09445361643
288,Tier 3,Executive,Non-Metro,48471,1,52,63,70363.67448995469
289,Tier 1,Manager,Non-Metro,59759,4,67,59,104376.58478459281
290,Tier 2,Executive,Metro,48380,2,76,52,83078.60512198722
291,Tier 1,Executive,Non-Metro,56990,3,85,28,72326.82754102844
292,Tier 1,Executive,Metro,51090,3,80,29,88238.24169617819
293,Tier 2,Manager,Metro,74198,1,57,25,99644.51268074985
294,Tier 2,Executive,Non-Metro,49883,2,83,22,60621.48480320098
295,Tier 1,Executive,Metro,54757,1,70,25,81168.13837962199
296,Tier 1,Executive,Metro,47031,1,77,18,69525.7268218584
297,Tier 1,Manager,Metro,50737,3,59,19,80080.38797789661
298,Tier 2,Manager,Metro,51867,3,71,47,82688.35276711614
299,Tier 3,Manager,Metro,55886,1,59,31,96427.67489832544
300,Tier 3,Executive,Non-Metro,58056,2,35,48,69477.19058347786
301,Tier 1,Executive,Metro,53101,4,70,36,74538.40002011672
302,Tier 1,Manager,Non-Metro,48782,4,48,53,79584.67817221009
303,Tier 2,Executive,Non-Metro,61585,1,43,56,74831.0960466418
304,Tier 2,Executive,Non-Metro,59979,4,75,28,58131.91129476439
305,Tier 1,Executive,Non-Metro,63899,1,56,57,84743.00215349701
306,Tier 3,Executive,Metro,54798,1,54,29,75534.39710343456
307,Tier 1,Executive,Non-Metro,54744,4,78,28,81481.55648325881
308,Tier 2,Executive,Non-Metro,58383,2,46,30,69300.19403453461
309,Tier 1,Executive,Metro,58709,4,85,58,90313.74557930227
310,Tier 3,Executive,Non-Metro,54126,2,43,41,73396.24209366414
311,Tier 1,Executive,Metro,52976,4,50,50,70039.58732539965
312,Tier 1,Executive,Non-Metro,50339,2,60,19,70424.37488121429
313,Tier 2,Manager,Metro,61609,2,74,43,91694.56714223037
314,Tier 2,Executive,Metro,63395,1,66,49,74782.68355135068
315,Tier 1,Manager,Non-Metro,61270,2,73,27,102262.81761747811
316,Tier 1,Executive,Metro,61862,4,51,52,79093.55120620396
317,Tier 3,Executive,Metro,60695,1,62,50,70326.56076222577
318,Tier 1,Executive,Metro,59922,3,42,54,86259.99790665784
319,Tier 3,Executive,Non-Metro,53748,2,74,44,63434.774109990576
320,Tier 1,Executive,Metro,62196,2,69,32,66943.00746268546
321,Tier 3,Executive,Metro,52827,2,43,34,65127.579495251746
322,Tier 1,Executive,Non-Metro,56003,1,68,26,79572.90616725497
323,Tier 1,Manager,Metro,60107,3,40,34,108959.67777892889
324,Tier 1,Executive,Metro,67292,3,46,57,75485.17100050153
325,Tier 1,Executive,Metro,49605,4,58,29,66564.33826507952
326,Tier 1,Executive,Metro,63647,3,50,40,77855.1090515495
327,Tier 2,Executive,Non-Metro,48581,4,69,27,58157.333720999006
328,Tier 3,Manager,Metro,63334,1,71,45,94904.91510174346
329,Tier 1,Manager,Non-Metro,62264,2,52,64,114996.23482400103
330,Tier 1,Executive,Metro,61180,1,53,52,84453.82063361071
331,Tier 1,Manager,Non-Metro,63370,1,38,61,112185.29832211288
332,Tier 3,Manager,Metro,52121,4,64,52,85433.78223559774
333,Tier 3,Executive,Non-Metro,58782,4,81,61,71725.41845388286
334,Tier 1,Executive,Non-Metro,52717,3,81,56,69686.42924338763
335,Tier 1,Executive,Non-Metro,65291,2,51,43,87624.82351950208
