Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,Employee ID,Gender,HireDate,Date of Birth,Today's Date,Age,Age Description,Length of Service,LOS Range,Department,Job Grade,Recruitment Sources,Performance Rating
,0001,M,2020-07-31 00:00:00,1999-04-11 00:00:00,2021-12-27 00:00:00,22,Generation Z,1,0-3 years,Sales,Officer,Corporate Job Fair,Fully Meets
,0002,M,2010-02-26 00:00:00,1978-04-05 00:00:00,2021-12-27 00:00:00,43,Generation X,11,8-14 years,Sales,Officer,Social Media Platforms,Fully Meets
,0003,M,2007-12-12 00:00:00,1963-06-10 00:00:00,2021-12-27 00:00:00,58,Baby Boomers,14,8-14 years,Production,Officer,Job Boards,Fully Meets
,0004,M,2007-01-05 00:00:00,1964-01-08 00:00:00,2021-12-27 00:00:00,58,Baby Boomers,14,8-14 years,Logistics,Management,Social Media Platforms,Fully Meets
,0005,M,2017-01-11 00:00:00,1982-11-01 00:00:00,2021-12-27 00:00:00,39,Generation Y,4,4-7 years,Sales,Officer,Social Media Platforms,Fully Meets
,0006,M,2015-01-20 00:00:00,1990-09-03 00:00:00,2021-12-27 00:00:00,31,Generation Y,6,4-7 years,Sales,Officer,Corporate Job Fair,Fully Meets
,0007,F,2013-01-26 00:00:00,1987-03-12 00:00:00,2021-12-27 00:00:00,34,Generation Y,8,8-14 years,Sales,Officer,Social Media Platforms,Fully Meets
,0008,F,2012-02-06 00:00:00,1974-06-05 00:00:00,2021-12-27 00:00:00,47,Generation X,9,8-14 years,Production,Management,Job Boards,Fully Meets
,0009,F,2006-02-06 00:00:00,1978-06-06 00:00:00,2021-12-27 00:00:00,43,Generation X,15,Above 15 years,Production,Officer,Social Media Platforms,PIP
,0010,M,2018-02-07 00:00:00,1990-03-12 00:00:00,2021-12-27 00:00:00,31,Generation Y,3,0-3 years,Logistics,Officer,Social Media Platforms,Fully Meets
,0011,M,2013-02-24 00:00:00,1973-09-04 00:00:00,2021-12-27 00:00:00,48,Generation X,8,8-14 years,Logistics,Officer,Corporate Job Fair,Fully Meets
,0012,F,2018-03-03 00:00:00,1990-07-07 00:00:00,2021-12-27 00:00:00,31,Generation Y,3,0-3 years,Human Resource,Officer,Job Boards,Fully Meets
,0013,M,2008-03-05 00:00:00,1979-05-05 00:00:00,2021-12-27 00:00:00,42,Generation X,13,8-14 years,Production,Officer,Job Boards,Fully Meets
,0014,M,2020-03-03 00:00:00,2000-12-03 00:00:00,2021-12-27 00:00:00,21,Generation Z,1,0-3 years,Logistics,Officer,Newspager/Magazine,Fully Meets
,0015,M,2020-03-03 00:00:00,2000-12-03 00:00:00,2021-12-27 00:00:00,21,Generation Z,1,0-3 years,Production,Officer,Social Media Platforms,Fully Meets
,0016,F,2020-03-03 00:00:00,2000-12-03 00:00:00,2021-12-27 00:00:00,21,Generation Z,1,0-3 years,Production,Officer,Job Boards,PIP
,0017,F,1998-04-11 00:00:00,1967-08-03 00:00:00,2021-12-27 00:00:00,54,Generation X,23,Above 15 years,Production,Management,Social Media Platforms,Fully Meets
,0018,M,1998-04-18 00:00:00,1973-04-07 00:00:00,2021-12-27 00:00:00,48,Generation X,23,Above 15 years,Sales,Mid-Management,Company Career Page,Fully Meets
,0019,F,1998-04-29 00:00:00,1965-01-07 00:00:00,2021-12-27 00:00:00,57,Baby Boomers,23,Above 15 years,Sales,Mid-Management,Company Career Page,Fully Meets
,0020,M,2009-03-05 00:00:00,1979-10-04 00:00:00,2021-12-27 00:00:00,42,Generation X,12,8-14 years,Finance,Officer,Social Media Platforms,Fully Meets
,0021,M,2010-01-02 00:00:00,1977-02-08 00:00:00,2021-12-27 00:00:00,44,Generation X,11,8-14 years,Production,Officer,Employee Referral,Fully Meets
,0022,M,2020-03-03 00:00:00,2000-12-03 00:00:00,2021-12-27 00:00:00,21,Generation Z,1,0-3 years,Logistics,Officer,Company Career Page,Exceeds
,0023,M,1999-01-03 00:00:00,1973-02-10 00:00:00,2021-12-27 00:00:00,48,Generation X,22,Above 15 years,Sales,Mid-Management,Job Boards,Fully Meets
,0024,M,2018-03-03 00:00:00,1982-12-04 00:00:00,2021-12-27 00:00:00,39,Generation Y,3,0-3 years,Finance,Officer,Social Media Platforms,Fully Meets
,0025,M,1999-01-04 00:00:00,1969-05-10 00:00:00,2021-12-27 00:00:00,52,Generation X,22,Above 15 years,Production,Management,Social Media Platforms,PIP
,0026,M,2006-01-05 00:00:00,1975-02-06 00:00:00,2021-12-27 00:00:00,46,Generation X,15,Above 15 years,Production,Management,Social Media Platforms,Fully Meets
,0027,M,2014-01-05 00:00:00,1963-11-04 00:00:00,2021-12-27 00:00:00,58,Baby Boomers,7,4-7 years,Finance,Management,Employee Referral,Fully Meets
,0028,M,2004-01-05 00:00:00,1978-05-02 00:00:00,2021-12-27 00:00:00,43,Generation X,17,Above 15 years,Sales,Management,Social Media Platforms,Fully Meets
,0029,M,2005-01-06 00:00:00,1977-04-03 00:00:00,2021-12-27 00:00:00,44,Generation X,16,Above 15 years,Finance,Management,Social Media Platforms,Fully Meets
,0030,F,2009-01-07 00:00:00,1975-04-11 00:00:00,2021-12-27 00:00:00,46,Generation X,12,8-14 years,Production,Management,Social Media Platforms,Fully Meets
,0031,M,2020-07-31 00:00:00,1999-04-11 00:00:00,2021-12-27 00:00:00,22,Generation Z,1,0-3 years,Production,Management,Social Media Platforms,Fully Meets
,0032,M,2020-03-03 00:00:00,2000-12-03 00:00:00,2021-12-27 00:00:00,21,Generation Z,1,0-3 years,Production,Management,Job Boards,Exceeds
,0033,M,2020-07-31 00:00:00,1999-04-11 00:00:00,2021-12-27 00:00:00,22,Generation Z,1,0-3 years,Production,Management,Job Boards,Fully Meets
,0034,F,2013-01-08 00:00:00,1978-10-04 00:00:00,2021-12-27 00:00:00,43,Generation X,8,8-14 years,Finance,Management,Job Boards,Fully Meets
,0035,M,2010-01-08 00:00:00,1973-11-10 00:00:00,2021-12-27 00:00:00,48,Generation X,11,8-14 years,Logistics,Management,Job Boards,Fully Meets
,0036,F,2020-07-31 00:00:00,1999-04-11 00:00:00,2021-12-27 00:00:00,22,Generation Z,1,0-3 years,Production,Officer,Job Boards,Fully Meets
,0037,M,2020-07-31 00:00:00,1999-04-11 00:00:00,2021-12-27 00:00:00,22,Generation Z,1,0-3 years,Production,Management,Job Boards,Fully Meets
,0038,M,2013-01-09 00:00:00,1979-12-04 00:00:00,2021-12-27 00:00:00,42,Generation X,8,8-14 years,Production,Officer,Company Career Page,Fully Meets
,0039,M,2020-07-31 00:00:00,1999-04-11 00:00:00,2021-12-27 00:00:00,22,Generation Z,1,0-3 years,Production,Mid-Management,Employee Referral,Exceeds
,0040,F,2020-07-31 00:00:00,1999-04-11 00:00:00,2021-12-27 00:00:00,22,Generation Z,1,0-3 years,Production,Mid-Management,Job Boards,Fully Meets
,0041,M,2020-07-31 00:00:00,1999-04-11 00:00:00,2021-12-27 00:00:00,22,Generation Z,1,0-3 years,Leadership,Top Management,Social Media Platforms,Fully Meets
,0042,F,2020-07-31 00:00:00,1999-04-11 00:00:00,2021-12-27 00:00:00,22,Generation Z,1,0-3 years,Production,Officer,Job Boards,Fully Meets
,0043,M,2011-01-13 00:00:00,1973-11-01 00:00:00,2021-12-27 00:00:00,48,Generation X,10,8-14 years,Production,Officer,Employee Referral,Fully Meets
,0044,M,2010-01-13 00:00:00,1979-05-07 00:00:00,2021-12-27 00:00:00,42,Generation X,11,8-14 years,Production,Officer,Job Boards,Fully Meets
,0045,M,2013-01-13 00:00:00,1979-11-10 00:00:00,2021-12-27 00:00:00,42,Generation X,8,8-14 years,Human Resource,Top Management,Job Boards,Fully Meets
,0046,M,2017-01-13 00:00:00,1991-11-10 00:00:00,2021-12-27 00:00:00,30,Generation Y,4,4-7 years,Production,Mid-Management,Corporate Job Fair,Exceeds
,0047,M,2020-03-03 00:00:00,2000-12-03 00:00:00,2021-12-27 00:00:00,21,Generation Z,1,0-3 years,Production,Officer,Employee Referral,Fully Meets
,0048,M,2010-01-15 00:00:00,1990-12-04 00:00:00,2021-12-27 00:00:00,31,Generation Y,11,8-14 years,Production,Management,Employee Referral,Exceeds
,0049,M,2019-01-15 00:00:00,1992-10-11 00:00:00,2021-12-27 00:00:00,29,Generation Y,2,0-3 years,Production,Mid-Management,Employee Referral,Fully Meets
,0050,F,2020-03-03 00:00:00,2000-12-03 00:00:00,2021-12-27 00:00:00,21,Generation Z,1,0-3 years,Production,Mid-Management,Social Media Platforms,Fully Meets
,0051,F,2017-01-13 00:00:00,1981-12-01 00:00:00,2021-12-27 00:00:00,40,Generation Y,4,4-7 years,Production,Officer,Job Boards,Fully Meets
,0052,F,2020-03-03 00:00:00,2000-12-03 00:00:00,2021-12-27 00:00:00,21,Generation Z,1,0-3 years,Production,Officer,Employee Referral,Fully Meets
,0053,M,2020-07-31 00:00:00,1999-04-11 00:00:00,2021-12-27 00:00:00,22,Generation Z,1,0-3 years,Production,Officer,Employee Referral,Fully Meets
,0054,M,2009-01-15 00:00:00,1988-02-02 00:00:00,2021-12-27 00:00:00,33,Generation Y,12,8-14 years,Production,Management,Company Career Page,Exceeds
,0055,F,2010-01-15 00:00:00,1974-08-12 00:00:00,2021-12-27 00:00:00,47,Generation X,11,8-14 years,Production,Mid-Management,Company Career Page,Fully Meets
,0056,F,2009-01-15 00:00:00,1990-07-12 00:00:00,2021-12-27 00:00:00,31,Generation Y,12,8-14 years,Production,Mid-Management,Company Career Page,Exceeds
,0057,M,2020-03-03 00:00:00,2000-12-03 00:00:00,2021-12-27 00:00:00,21,Generation Z,1,0-3 years,Production,Officer,Company Career Page,Fully Meets
,0058,F,2017-01-13 00:00:00,1982-04-11 00:00:00,2021-12-27 00:00:00,39,Generation Y,4,4-7 years,Sales,Officer,Corporate Job Fair,Fully Meets
,0059,M,2010-02-26 00:00:00,1978-04-05 00:00:00,2021-12-27 00:00:00,43,Generation X,11,8-14 years,Logistics,Officer,Corporate Job Fair,Needs Improvement
,0060,F,2007-12-12 00:00:00,1974-06-10 00:00:00,2021-12-27 00:00:00,47,Generation X,14,8-14 years,Logistics,Mid-Management,Company Career Page,Exceeds
,0061,M,2007-01-05 00:00:00,1962-01-08 00:00:00,2021-12-27 00:00:00,60,Baby Boomers,14,8-14 years,Production,Officer,Job Boards,Fully Meets
,0062,M,2020-03-03 00:00:00,2000-12-03 00:00:00,2021-12-27 00:00:00,21,Generation Z,1,0-3 years,Production,Officer,Job Boards,Fully Meets
,0063,M,2005-01-20 00:00:00,1960-09-03 00:00:00,2021-12-27 00:00:00,61,Baby Boomers,16,Above 15 years,Production,Mid-Management,Corporate Job Fair,Exceeds
,0064,M,2020-03-03 00:00:00,2000-12-03 00:00:00,2021-12-27 00:00:00,21,Generation Z,1,0-3 years,Production,Mid-Management,Job Boards,Fully Meets
,0065,M,2012-02-06 00:00:00,1974-06-05 00:00:00,2021-12-27 00:00:00,47,Generation X,9,8-14 years,Production,Top Management,Job Boards,Fully Meets
,0066,M,2006-02-06 00:00:00,1978-06-06 00:00:00,2021-12-27 00:00:00,43,Generation X,15,Above 15 years,Production,Officer,Job Boards,Fully Meets
,0067,M,2017-01-13 00:00:00,1994-03-12 00:00:00,2021-12-27 00:00:00,27,Generation Y,4,4-7 years,Sales,Officer,Employee Referral,Fully Meets
,0068,F,2013-02-24 00:00:00,1973-09-04 00:00:00,2021-12-27 00:00:00,48,Generation X,8,8-14 years,Sales,Officer,Employee Referral,Fully Meets
,0069,F,2008-03-03 00:00:00,1978-07-07 00:00:00,2021-12-27 00:00:00,43,Generation X,13,8-14 years,Finance,Top Management,Job Boards,PIP
,0070,F,2002-01-02 00:00:00,1979-05-05 00:00:00,2021-12-27 00:00:00,42,Generation X,19,Above 15 years,Production,Officer,Job Boards,Fully Meets
,0071,M,2010-03-11 00:00:00,1986-12-03 00:00:00,2021-12-27 00:00:00,35,Generation Y,11,8-14 years,Production,Officer,Job Boards,Fully Meets
,0072,M,2009-03-23 00:00:00,1987-04-04 00:00:00,2021-12-27 00:00:00,34,Generation Y,12,8-14 years,Human Resource,Management,Job Boards,Fully Meets
,0073,F,2008-03-30 00:00:00,1984-09-06 00:00:00,2021-12-27 00:00:00,37,Generation Y,13,8-14 years,Finance,Officer,Employee Referral,Fully Meets
,0074,F,1998-04-11 00:00:00,1967-08-03 00:00:00,2021-12-27 00:00:00,54,Generation X,23,Above 15 years,Production,Mid-Management,Social Media Platforms,Fully Meets
,0075,M,2001-01-02 00:00:00,1973-04-07 00:00:00,2021-12-27 00:00:00,48,Generation X,20,Above 15 years,Production,Officer,Employee Referral,Fully Meets
,0076,F,2003-01-02 00:00:00,1965-01-07 00:00:00,2021-12-27 00:00:00,57,Baby Boomers,18,Above 15 years,Finance,Officer,Job Boards,Fully Meets
,0077,M,2002-01-02 00:00:00,1979-10-04 00:00:00,2021-12-27 00:00:00,42,Generation X,19,Above 15 years,Finance,Officer,Social Media Platforms,Exceeds
,0078,F,2018-01-02 00:00:00,1977-02-08 00:00:00,2021-12-27 00:00:00,44,Generation X,3,0-3 years,Finance,Management,Social Media Platforms,Fully Meets
,0079,M,1999-01-03 00:00:00,1966-07-01 00:00:00,2021-12-27 00:00:00,55,Generation X,22,Above 15 years,Production,Mid-Management,Employee Referral,Fully Meets
,0080,M,2009-01-03 00:00:00,1969-05-07 00:00:00,2021-12-27 00:00:00,52,Generation X,12,8-14 years,Production,Mid-Management,Employee Referral,Fully Meets
,0081,M,2014-01-08 00:00:00,1989-11-10 00:00:00,2021-12-27 00:00:00,32,Generation Y,7,4-7 years,Sales,Officer,Company Career Page,Needs Improvement
,0082,M,2018-01-13 00:00:00,1991-11-10 00:00:00,2021-12-27 00:00:00,30,Generation Y,3,0-3 years,Sales,Officer,Social Media Platforms,Exceeds
,0083,M,2006-01-05 00:00:00,1971-09-05 00:00:00,2021-12-27 00:00:00,50,Generation X,15,Above 15 years,Sales,Officer,Job Boards,Fully Meets
,0084,M,2014-01-05 00:00:00,1990-12-04 00:00:00,2021-12-27 00:00:00,31,Generation Y,7,4-7 years,Sales,Mid-Management,Job Boards,Fully Meets
,0085,M,2018-01-13 00:00:00,1992-10-11 00:00:00,2021-12-27 00:00:00,29,Generation Y,3,0-3 years,Sales,Officer,Job Boards,Fully Meets
,0086,F,2005-01-06 00:00:00,1969-05-07 00:00:00,2021-12-27 00:00:00,52,Generation X,16,Above 15 years,Sales,Officer,Job Boards,Needs Improvement
,0087,F,2009-01-07 00:00:00,1981-12-01 00:00:00,2021-12-27 00:00:00,40,Generation Y,12,8-14 years,Sales,Mid-Management,Job Boards,Fully Meets
,0088,F,2006-01-07 00:00:00,1967-02-09 00:00:00,2021-12-27 00:00:00,54,Generation X,15,Above 15 years,Sales,Mid-Management,Corporate Job Fair,Fully Meets
,0089,M,2011-01-08 00:00:00,1982-10-03 00:00:00,2021-12-27 00:00:00,39,Generation Y,10,8-14 years,Sales,Top Management,Company Career Page,Exceeds
,0090,M,2014-01-08 00:00:00,1988-02-02 00:00:00,2021-12-27 00:00:00,33,Generation Y,7,4-7 years,Sales,Officer,Company Career Page,Fully Meets
,0091,F,2013-01-08 00:00:00,1974-08-12 00:00:00,2021-12-27 00:00:00,47,Generation X,8,8-14 years,Production,Officer,Company Career Page,Fully Meets
,0092,F,2018-01-13 00:00:00,1990-07-12 00:00:00,2021-12-27 00:00:00,31,Generation Y,3,0-3 years,Production,Officer,Company Career Page,PIP
,0093,M,2011-01-08 00:00:00,1982-04-06 00:00:00,2021-12-27 00:00:00,39,Generation Y,10,8-14 years,Leadership,Top Management,Company Career Page,PIP
,0094,F,2008-01-09 00:00:00,1967-08-03 00:00:00,2021-12-27 00:00:00,54,Generation X,13,8-14 years,Logistics,Officer,Company Career Page,Exceeds
,0095,M,2013-01-09 00:00:00,1973-04-07 00:00:00,2021-12-27 00:00:00,48,Generation X,8,8-14 years,Logistics,Officer,Job Boards,Exceeds
,0096,F,2004-01-10 00:00:00,1965-01-07 00:00:00,2021-12-27 00:00:00,57,Baby Boomers,17,Above 15 years,Logistics,Management,Social Media Platforms,Fully Meets
,0097,M,2013-01-10 00:00:00,1979-10-04 00:00:00,2021-12-27 00:00:00,42,Generation X,8,8-14 years,Logistics,Officer,Company Career Page,Fully Meets
,0098,M,2007-01-10 00:00:00,1977-02-08 00:00:00,2021-12-27 00:00:00,44,Generation X,14,8-14 years,Finance,Mid-Management,Employee Referral,Fully Meets
,0099,M,2013-01-12 00:00:00,1986-07-01 00:00:00,2021-12-27 00:00:00,35,Generation Y,8,8-14 years,Sales,Officer,Company Career Page,Fully Meets
,0100,M,2011-01-13 00:00:00,1979-05-07 00:00:00,2021-12-27 00:00:00,42,Generation X,10,8-14 years,Sales,Officer,Job Boards,Fully Meets
,0101,M,2018-01-13 00:00:00,1989-11-10 00:00:00,2021-12-27 00:00:00,32,Generation Y,3,0-3 years,Sales,Officer,Newspager/Magazine,Fully Meets
,0102,M,2013-01-13 00:00:00,1991-11-10 00:00:00,2021-12-27 00:00:00,30,Generation Y,8,8-14 years,Logistics,Mid-Management,Job Boards,Fully Meets
,0103,M,2007-01-13 00:00:00,1981-09-05 00:00:00,2021-12-27 00:00:00,40,Generation Y,14,8-14 years,Production,Mid-Management,Social Media Platforms,Fully Meets
,0104,F,2009-01-14 00:00:00,1967-08-03 00:00:00,2021-12-27 00:00:00,54,Generation X,12,8-14 years,Production,Mid-Management,Corporate Job Fair,Fully Meets
,0105,F,2010-01-15 00:00:00,1973-04-07 00:00:00,2021-12-27 00:00:00,48,Generation X,11,8-14 years,Production,Officer,Company Career Page,Exceeds
,0106,F,2009-01-15 00:00:00,1965-01-07 00:00:00,2021-12-27 00:00:00,57,Baby Boomers,12,8-14 years,Production,Officer,Employee Referral,Exceeds
,0107,M,2013-01-13 00:00:00,1979-10-04 00:00:00,2021-12-27 00:00:00,42,Generation X,8,8-14 years,Production,Officer,Social Media Platforms,Needs Improvement
,0108,M,2007-01-13 00:00:00,1977-02-08 00:00:00,2021-12-27 00:00:00,44,Generation X,14,8-14 years,Production,Mid-Management,Social Media Platforms,Fully Meets
,0109,F,2018-01-13 00:00:00,1986-07-01 00:00:00,2021-12-27 00:00:00,35,Generation Y,3,0-3 years,Production,Officer,Corporate Job Fair,Exceeds
,0110,F,2010-01-15 00:00:00,1979-05-07 00:00:00,2021-12-27 00:00:00,42,Generation X,11,8-14 years,Production,Officer,Company Career Page,Fully Meets
,0111,M,2019-01-15 00:00:00,1989-11-10 00:00:00,2021-12-27 00:00:00,32,Generation Y,2,0-3 years,Production,Officer,Social Media Platforms,Fully Meets
,0112,F,2020-07-31 00:00:00,1998-04-11 00:00:00,2021-12-27 00:00:00,23,Generation Z,1,0-3 years,Sales,Officer,Campus Recruiting,Fully Meets
,0113,F,2020-07-31 00:00:00,1997-04-11 00:00:00,2021-12-27 00:00:00,24,Generation Z,1,0-3 years,Logistics,Officer,Corporate Job Fair,Exceeds
,0114,F,2020-07-31 00:00:00,1996-04-11 00:00:00,2021-12-27 00:00:00,25,Generation Y,1,0-3 years,Human Resource,Officer,Social Media Platforms,Fully Meets
,0115,F,2020-07-31 00:00:00,1998-04-11 00:00:00,2021-12-27 00:00:00,23,Generation Z,1,0-3 years,Human Resource,Officer,Employee Referral,Exceeds
,0116,M,2010-01-15 00:00:00,1970-12-12 00:00:00,2021-12-27 00:00:00,51,Generation X,11,8-14 years,Production,Officer,Job Boards,PIP
,0117,M,2009-01-15 00:00:00,1970-12-12 00:00:00,2021-12-27 00:00:00,51,Generation X,12,8-14 years,Sales,Officer,Job Boards,Fully Meets
